date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:14	9240/9240	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/robots.txt		(from )
16:35:15	32975/32975	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/	./karpathy.ai-mirror/karpathy.ai/index.html	(from )
16:35:15	4357/4357	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/style.css	./karpathy.ai-mirror/karpathy.ai/style.css	(from https://karpathy.ai/)
16:35:17	1371/1371	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/ctwitter.svg	./karpathy.ai-mirror/karpathy.ai/assets/ctwitter.svg	(from https://karpathy.ai/)
16:35:18	155870/155870	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/me_new.jpg	./karpathy.ai-mirror/karpathy.ai/assets/me_new.jpg	(from https://karpathy.ai/)
16:35:18	893/893	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/cgithub.svg	./karpathy.ai-mirror/karpathy.ai/assets/cgithub.svg	(from https://karpathy.ai/)
16:35:19	1532/1532	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/crss.svg	./karpathy.ai-mirror/karpathy.ai/assets/crss.svg	(from https://karpathy.ai/)
16:35:20	643/643	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/cemail.svg	./karpathy.ai-mirror/karpathy.ai/assets/cemail.svg	(from https://karpathy.ai/)
16:35:22	13793/13793	---M-Z	200	added ('OK')	image/png	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/eureka.png	./karpathy.ai-mirror/karpathy.ai/assets/eureka.png	(from https://karpathy.ai/)
16:35:23	99083/99083	---M-Z	200	added ('OK')	image/png	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/openai_logo.png	./karpathy.ai-mirror/karpathy.ai/assets/openai_logo.png	(from https://karpathy.ai/)
16:35:23	13638/13638	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/tesla_logo2.jpg	./karpathy.ai-mirror/karpathy.ai/assets/tesla_logo2.jpg	(from https://karpathy.ai/)
16:35:24	53061/53061	---M-Z	200	added ('OK')	image/png	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/scaledml2020.png	./karpathy.ai-mirror/karpathy.ai/assets/scaledml2020.png	(from https://karpathy.ai/)
16:35:27	120917/120917	---M-Z	200	added ('OK')	image/png	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/multitask.png	./karpathy.ai-mirror/karpathy.ai/assets/multitask.png	(from https://karpathy.ai/)
16:35:27	424425/424425	---M-Z	200	added ('OK')	image/png	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/auto_2.38.42.png	./karpathy.ai-mirror/karpathy.ai/assets/auto_2.38.42.png	(from https://karpathy.ai/)
16:35:28	167359/167359	---M-Z	200	added ('OK')	image/png	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/software20_narrow.png	./karpathy.ai-mirror/karpathy.ai/assets/software20_narrow.png	(from https://karpathy.ai/)
16:35:28	46541/46541	---M-Z	200	added ('OK')	image/png	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/stanford_logo.png	./karpathy.ai-mirror/karpathy.ai/assets/stanford_logo.png	(from https://karpathy.ai/)
16:35:29	59423/59423	---M-Z	200	added ('OK')	image/png	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/ubc_logo.png	./karpathy.ai-mirror/karpathy.ai/assets/ubc_logo.png	(from https://karpathy.ai/)
16:35:30	68924/68924	---M-Z	200	added ('OK')	image/png	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/uoft_logo.png	./karpathy.ai-mirror/karpathy.ai/assets/uoft_logo.png	(from https://karpathy.ai/)
16:35:31	118421/118421	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/yc.jpg	./karpathy.ai-mirror/karpathy.ai/assets/yc.jpg	(from https://karpathy.ai/)
16:35:32	66463/66463	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/gpumode_talk_2024.jpg	./karpathy.ai-mirror/karpathy.ai/assets/gpumode_talk_2024.jpg	(from https://karpathy.ai/)
16:35:34	185934/185934	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/nopriors.jpg	./karpathy.ai-mirror/karpathy.ai/assets/nopriors.jpg	(from https://karpathy.ai/)
16:35:34	47897/47897	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/berkeley2024.jpg	./karpathy.ai-mirror/karpathy.ai/assets/berkeley2024.jpg	(from https://karpathy.ai/)
16:35:35	73331/73331	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/stateofgpt.jpeg	./karpathy.ai-mirror/karpathy.ai/assets/stateofgpt.jpg	(from https://karpathy.ai/)
16:35:36	32975/32975	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/stateofgpt.pdf	./karpathy.ai-mirror/karpathy.ai/stateofgpt.html	(from https://karpathy.ai/)
16:35:37	39859/39859	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2020%20Jun%202025%2019:20:55%20GMT	https://karpathy.ai/assets/lex333.jpg	./karpathy.ai-mirror/karpathy.ai/assets/lex333.jpg	(from https://karpathy.ai/)
